Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
BAR,RSO,09.05.2015,GF,Rodríguez Ledesma,2-84,407.04,336.84,367.52,105.938
BAR,RSO,09.05.2015,CF-G,Santos Júnior,2-50,288.48,214.38,352.96,135.562
BAR,RSO,09.05.2015,CF-S,,1-12,267.68,256.77,310.32,206.53
BAR,RSO,09.05.2015,CF-S,,1-27,442.4,278.75,403.92,204.96
BAR,ATM,17.05.2015,GF,Messi,2-64,288.48,324.28,422.64,155.848
BAR,ATM,17.05.2015,CF-O,,2-70,286.4,327.42,424.72,31.234
BAR,ATM,17.05.2015,CF-S,,1-12,359.2,313.29,365.44,178.27
BAR,DEP,23.05.2015,CF-G,Messi,1-4,355.04,261.48,351.92,144.739
BAR,DEP,23.05.2015,CF-G,Messi,2-58,458,285.03,415.36,156.975
BAR,DEP,23.05.2015,CF-S,,1-16,346.72,263.05,365.44,230.08
BAR,DEP,23.05.2015,CF-S,,2-72,146,391.79,203.2,332.13
RMA,COR,25.08.2014,GF,Benzema,1-29,395.6,283.46,426.8,137.494
RMA,COR,25.08.2014,GF,Ronaldo,2-89,201.12,619.44,335.28,157.941
RMA,RSO,31.08.2014,GF,Ramos,1-4,332.16,277.18,424.72,154.882
RMA,RSO,31.08.2014,GF,Bale,1-10,445.52,372.95,422.64,156.975
RMA,RSO,31.08.2014,CF-O,,2-85,378.96,220.66,343.6,69.391
RMA,RSO,31.08.2014,CF-O,,2-90,338.4,294.45,325.92,145.705
RMA,RSO,31.08.2014,CF-S,,1-30,475.68,319.57,415.36,233.22
RMA,ATM,13.09.2014,CF-G,Ronaldo,1-25,380,341.55,336.32,157.941
RMA,DEP,20.09.2014,GF,Ronaldo,1-28,377.92,350.97,336.32,128.317
RMA,DEP,20.09.2014,GF,Rodríguez,1-35,252.08,468.72,423.68,108.031
RMA,DEP,20.09.2014,CF-G,Ronaldo,1-40,407.04,561.35,378.96,157.941
RMA,DEP,20.09.2014,CF-G,Bale,2-65,240.64,313.29,424.72,156.975
RMA,DEP,20.09.2014,GF,Bale,2-73,255.2,322.71,407.04,150.857
RMA,DEP,20.09.2014,GF,Ronaldo,2-77,165.76,377.66,418.48,139.587
RMA,DEP,20.09.2014,GF,Hernández,2-87,160.56,415.34,341.52,110.124
RMA,DEP,20.09.2014,GF,Hernández,2-91,312.4,566.06,364.4,130.41
RMA,DEP,20.09.2014,CF-S,,1-15,460.08,283.46,442.4,237.93
RMA,ELC,23.09.2014,GF,Bale,1-19,465.28,316.43,391.44,158.907
RMA,ELC,23.09.2014,CF-G,Ronaldo,1-27,375.84,341.55,417.44,113.183
RMA,ELC,23.09.2014,GF,Ronaldo,1-31,415.36,328.99,338.4,156.975
RMA,ELC,23.09.2014,CF-G,Ronaldo,2-79,380,341.55,335.28,135.562
RMA,ELC,23.09.2014,CF-G,Ronaldo,2-91,344.64,336.84,348.8,158.907
RMA,ELC,23.09.2014,CF-O,,2-82,390.4,387.08,421.6,96.761
RMA,ELC,23.09.2014,CF-S,,1-43,392.48,291.31,380,170.42
RMA,VILL,27.09.2014,GF,Modric,1-31,455.92,515.82,338.4,139.587
RMA,VILL,27.09.2014,CF-G,Ronaldo,1-39,357.12,366.67,346.72,158.907
RMA,ATH,05.10.2014,CF-G,Ronaldo,1-1,314.48,192.4,364.4,151.823
RMA,ATH,05.10.2014,GF,Benzema,1-40,407.04,266.19,339.44,128.317
RMA,ATH,05.10.2014,CF-G,Ronaldo,2-54,376.88,230.08,373.76,160.034
RMA,ATH,05.10.2014,CF-G,Benzema,2-68,409.12,330.56,392.48,160.034
RMA,ATH,05.10.2014,GF,Ronaldo,2-87,391.44,275.61,337.36,156.975
RMA,ATH,05.10.2014,CF-S,,1-39,447.6,283.46,440.32,266.19
RMA,ATH,05.10.2014,CF-S,,2-79,526.64,230.08,415.36,179.84
RMA,LEV,18.10.2014,CF-G,Ronaldo,1-12,380,341.55,403.92,137.494
RMA,LEV,18.10.2014,CF-G,Hernández,1-37,348.8,239.5,358.16,129.444
RMA,LEV,18.10.2014,CF-G,Ronaldo,2-60,314.48,352.54,362.32,127.351
RMA,LEV,18.10.2014,CF-G,Rodríguez,2-65,419.52,365.1,412.24,154.882
RMA,LEV,18.10.2014,GF,Alarcón Suárez,2-81,322.8,431.04,361.28,125.258
RMA,LEV,18.10.2014,CF-O,,1-1,241.68,307.01,313.44,136.367
RMA,LEV,18.10.2014,CF-O,,2-74,385.2,307.01,466.32,147.637
RMA,LEV,18.10.2014,CF-S,,2-53,316.56,324.28,354,226.94
RMA,LEV,18.10.2014,CF-S,,2-74,400.8,352.54,377.92,200.25
RMA,BAR,25.10.2014,CF-G,Ronaldo,1-34,380,341.55,410.16,157.941
RMA,BAR,25.10.2014,GF,Lima Ferreira,2-49,334.24,297.59,345.68,143.612
RMA,BAR,25.10.2014,GF,Benzema,2-60,504.8,349.4,333.2,160.034
RMA,GRA,01.11.2014,GF,Ronaldo,1-1,312.4,366.67,407.04,158.907
RMA,GRA,01.11.2014,GF,Rodríguez,1-30,599.44,344.69,339.44,112.056
RMA,GRA,01.11.2014,CF-G,Benzema,2-53,342.56,333.7,403.92,158.907
RMA,GRA,01.11.2014,CF-G,Rodríguez,2-85,355.04,186.12,343.6,158.907
RMA,GRA,01.11.2014,CF-B,,2-85,361.28,288.17,351.92,168.85
RMA,GRA,01.11.2014,CF-S,,2-82,432,302.3,415.36,237.93
RMA,RVA,08.11.2014,CF-G,Bale,1-8,391.44,230.08,375.84,158.907
RMA,RVA,08.11.2014,GF,Ramos,1-39,421.6,314.86,422.64,130.41
RMA,RVA,08.11.2014,GF,Kroos,2-54,382.08,544.08,428.88,157.941
RMA,RVA,08.11.2014,CF-G,Benzema,2-58,381.04,225.37,384.16,150.857
RMA,RVA,08.11.2014,GF,Ronaldo,2-82,209.44,325.85,356.08,160.034
RMA,RVA,08.11.2014,CF-S,,2-89,526.64,307.01,452.8,241.07
RMA,EIB,22.11.2014,CF-G,Rodríguez,1-22,342.56,193.97,343.6,132.503
RMA,EIB,22.11.2014,GF,Ronaldo,1-42,453.84,324.28,424.72,129.444
RMA,EIB,22.11.2014,CF-G,Benzema,2-68,393.52,297.59,416.4,117.208
RMA,EIB,22.11.2014,CF-G,Ronaldo,2-82,380,341.55,334.24,157.941
RMA,EIB,22.11.2014,CF-O,,1-22,389.36,219.09,526.64,168.85
RMA,EIB,22.11.2014,CF-O,,2-63,432,376.09,448.64,151.984
RMA,EIB,22.11.2014,CF-S,,1-35,357.12,263.05,375.84,170.42
RMA,MLG,29.11.2014,CF-G,Benzema,1-17,355.04,219.09,413.28,158.907
RMA,MLG,29.11.2014,CF-G,Bale,2-82,533.92,338.41,385.2,125.258
RMA,MLG,29.11.2014,CF-O,,2-81,481.92,297.59,389.36,55.867
RMA,MLG,29.11.2014,CF-S,,1-11,404.96,275.61,398.72,170.42
RMA,MLG,29.11.2014,CF-S,,1-39,477.76,318,459.04,281.89
RMA,MLG,29.11.2014,CF-S,,2-55,330.08,307.01,342.56,278.75
RMA,MLG,29.11.2014,CF-S,,2-75,402.88,319.57,382.08,206.53
RMA,CEL,06.12.2014,CF-G,Ronaldo,1-35,380,341.55,416.4,156.975
RMA,CEL,06.12.2014,GF,Ronaldo,2-64,471.52,330.56,402.88,148.764
RMA,CEL,06.12.2014,CF-G,Ronaldo,2-80,415.36,281.89,413.28,143.612
RMA,ALM,12.12.2014,GF,Alarcón Suárez,1-33,179.28,387.08,426.8,144.739
RMA,ALM,12.12.2014,GF,Bale,1-41,413.28,325.85,339.44,158.907
RMA,ALM,12.12.2014,CF-G,Ronaldo,2-80,306.16,325.85,391.44,157.941
RMA,ALM,12.12.2014,GF,Ronaldo,2-88,538.08,308.58,420.56,160.034
RMA,ALM,12.12.2014,CF-O,,2-89,566.16,203.39,-20.4,156.492
RMA,VAL,04.01.2015,CF-G,Ronaldo,1-13,380,341.55,337.36,158.907
RMA,VAL,04.01.2015,CF-O,,1-24,496.48,209.67,446.56,156.492
RMA,VAL,04.01.2015,CF-O,,2-78,331.12,297.59,465.28,143.129
RMA,VAL,04.01.2015,CF-S,,2-58,451.76,209.67,436.16,190.83
RMA,ESP,10.01.2015,GF,Rodríguez,1-11,288.48,355.68,355.04,158.907
RMA,ESP,10.01.2015,GF,Bale,1-27,518.32,504.83,426.8,122.199
RMA,ESP,10.01.2015,GF,Fernández Iglesias,2-75,477.76,299.16,372.72,158.907
RMA,ESP,10.01.2015,CF-O,,2-71,441.36,322.71,448.64,158.746
RMA,GET,18.01.2015,CF-G,Ronaldo,2-62,361.28,239.5,366.48,147.798
RMA,GET,18.01.2015,CF-G,Bale,2-66,462.16,275.61,376.88,156.975
RMA,GET,18.01.2015,CF-G,Ronaldo,2-78,429.92,263.05,363.36,137.494
RMA,COR,24.01.2015,CF-G,Benzema,1-26,370.64,220.66,351.92,110.124
RMA,COR,24.01.2015,CF-G,Bale,2-88,380,341.55,401.84,142.646
RMA,RSO,31.01.2015,CF-G,Rodríguez,1-2,364.4,313.29,336.32,116.242
RMA,RSO,31.01.2015,CF-G,Ramos,1-36,411.2,283.46,389.36,107.065
RMA,RSO,31.01.2015,CF-G,Benzema,2-51,322.8,291.31,412.24,160.034
RMA,RSO,31.01.2015,GF,Benzema,2-75,167.84,388.65,426.8,108.997
RMA,RSO,31.01.2015,CA-O,,ешьук1-39,455.92,328.99,461.12,151.984
RMA,RSO,31.01.2015,CF-B,,2-54,425.76,266.19,424.72,165.71
RMA,RSO,31.01.2015,CF-S,,1-19,276,349.4,335.28,258.34
RMA,RSO,31.01.2015,CF-S,,1-36,550.56,259.91,462.16,198.68
RMA,RSO,31.01.2015,CF-S,,2-81,227.12,372.95,263.52,305.44
RMA,SEV,04.02.2015,CF-G,Rodríguez,1-11,432,245.78,375.84,144.739
RMA,SEV,04.02.2015,CF-G,Rodríguez Ruiz,1-35,328,292.88,358.16,157.941
