Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
MCI,SOU,24.05.2015,CS,,1-32,468.4,357.25,430.96,255.2
MCI,SOU,24.05.2015,CS,,1-23,409.12,263.05,402.88,212.81
ARS,CRY,16.08.2014,CG,Koscielny,1-45,367.52,296.02,337.36,148.764
ARS,CRY,16.08.2014,CG,Ramsey,2-90,370.64,197.11,371.68,130.41
ARS,CRY,16.08.2014,CS,,2-90,378.96,269.33,393.52,161
ARS,EVE,23.08.2014,CG,Ramsey,2-82,390.4,211.24,388.32,158.907
ARS,EVE,23.08.2014,G,Giroud,2-89,361.28,278.75,333.2,134.435
ARS,EVE,23.08.2014,CO,,2-45,286.4,233.22,383.12,58.121
ARS,LEI,31.08.2014,CG,Sánchez,1-19,395.6,267.76,380,154.882
ARS,LEI,31.08.2014,CS,,1-19,498.56,278.75,452.8,241.07
ARS,LEI,31.08.2014,CS,,2-56,271.84,303.87,288.48,275.61
ARS,LEI,31.08.2014,CS,,2-54,291.6,275.61,361.28,179.84
ARS,MCI,13.09.2014,CG,Wilsher,2-62,501.68,214.38,411.2,111.09
ARS,MCI,13.09.2014,CG,Sánchez,2-73,297.84,325.85,421.6,119.301
ARS,MCI,13.09.2014,CS,,2-69,532.88,336.84,517.28,313.29
ARS,MCI,13.09.2014,CO,,1-11,462.16,376.09,325.92,144.739
ARS,MCI,13.09.2014,CO,,2-76,435.12,303.87,544.32,158.746
ARS,AST,20.09.2014,CG,Özil,1-32,377.92,394.93,362.32,160.034
ARS,AST,20.09.2014,CG,Welbeck,1-33,367.52,239.5,372.72,115.115
ARS,TOT,27.09.2014,CG,Oxlade-Chamberlain,2-73,414.32,267.76,361.28,108.997
ARS,CHE,05.10.2014,,,,,,,
ARS,HUL,18.10.2014,G,Sánchez,1-12,609.84,272.47,341.52,158.907
ARS,HUL,18.10.2014,G,Welbeck,2-90,288.48,341.55,423.68,154.882
ARS,HUL,18.10.2014,CS,,1-6,466.32,226.94,451.76,204.96
